Priority,Status,Assignee,Reporter,Creator,Date Created,Date Updated,Date Resolved,Time Spent,Time Spent (Without Outliers),Repair Time,Repair Time (Without Outliers),completed,open,failed_fix,assigned,last28,Assigned to a Developer,Created by a Developer,Reported by a Developer
2 - Minor,Resolved,NancyKraus,MattChild,MattChild,2017-11-15,2018-02-06,2018-02-06,83,83,83,83,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,JosephWallace,RyanScranton,RyanScranton,2017-11-13,2018-02-06,2018-02-06,85,85,85,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,PeteSchatz,MattChild,MattChild,2017-11-15,2018-02-06,2018-02-06,83,83,83,83,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,JohnSieck,JohnSieck,JohnSieck,2017-11-17,2018-02-06,2018-02-06,81,81,81,81,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2 - Minor,Resolved,JohnSieck,MattChild,MattChild,2017-11-09,2018-02-06,2018-02-06,89,89,89,89,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2 - Minor,Resolved,NancyKraus,MattChild,MattChild,2017-11-07,2018-02-06,2018-02-06,91,91,91,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,NancyKraus,MattChild,MattChild,2017-11-07,2018-02-06,2018-02-06,91,91,91,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,NancyKraus,MattChild,MattChild,2017-11-07,2018-02-06,2018-02-06,91,91,91,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,JosephWallace,JohnSieck,JohnSieck,2017-11-08,2018-02-06,2018-02-06,90,90,90,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,JosephWallace,RyanScranton,RyanScranton,2017-12-04,2018-02-06,2018-02-06,64,64,64,64,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-12-04,2018-02-06,2018-02-06,64,64,64,64,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,NA,RyanScranton,RyanScranton,2017-12-11,2018-02-06,2018-02-06,57,57,57,57,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Resolved,NancyKraus,MattChild,MattChild,2017-11-22,2018-02-06,2018-02-06,76,76,76,76,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,PeteSchatz,MattChild,MattChild,2017-11-22,2018-02-06,2018-02-06,76,76,76,76,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,PeteSchatz,MattChild,MattChild,2017-11-21,2018-02-06,2018-02-06,77,77,77,77,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,PeteSchatz,RyanScranton,RyanScranton,2017-12-11,2018-02-06,2018-02-06,57,57,57,57,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
